,Unnamed: 0,id,Store,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,Population
39,39,5b5125be270ee7002ce9be62,Arizona Natural Selections of Mesa Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,938 East Juanita Avenue,,33.3825505,-111.8108859,"[{'label': 'display', 'lat': 33.3825505, 'lng': -111.8108859}]",85204.0,US,Mesa,AZ,United States,"['938 East Juanita Avenue', 'Mesa, AZ 85204', 'United States']",601689745.0,496401.0
41,41,5d93e42972d65800089b05c1,SWC Tempe Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,520 South Price Road,,33.425296,-111.8922111,"[{'label': 'display', 'lat': 33.425296, 'lng': -111.8922111}]",85281.0,US,Tempe,AZ,United States,"['520 South Price Road', 'Tempe, AZ 85281', 'United States']",565312775.0,185038.0
50,50,597517858134881c234a78c2,Health for Life - McDowell - Medical Cannabis Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,5550 E McDowell Rd,,33.4673539,-111.7103871,"[{'label': 'entrance', 'lat': 33.467529, 'lng': -111.710235}, {'label': 'display', 'lat': 33.4673539, 'lng': -111.7103871}]",85215.0,US,Mesa,AZ,United States,"['5550 E McDowell Rd', 'Mesa, AZ 85215', 'United States']",,496401.0
52,52,53180aba498ee856ab5d2209,Health for Life Dispensary,"[{'id': '50aa9e744b90af0d42d5de0e', 'name': 'Health Food Store', 'pluralName': 'Health Food Stores', 'shortName': 'Health Food Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,3321 N Reseda Ste 50,,33.4762077331543,-111.72769927978516,"[{'label': 'display', 'lat': 33.4762077331543, 'lng': -111.72769927978516}]",85215.0,US,Mesa,AZ,United States,"['3321 N Reseda Ste 50', 'Mesa, AZ 85215', 'United States']",,496401.0
53,53,5fbf485847ee21535cb8ca03,Harvest HOC of Chandler Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,13433 East Chandler Boulevard Suite A&B,,33.3061456,-111.7927902,"[{'label': 'display', 'lat': 33.3061456, 'lng': -111.7927902}]",85225.0,US,Chandler,AZ,United States,"['13433 East Chandler Boulevard Suite A&B', 'Chandler, AZ 85225', 'United States']",600183476.0,253458.0
57,57,5e5b113e1e143200085e79f3,Territory Dispensary,"[{'id': '4bf58dd8d48988d104941735', 'name': 'Medical Center', 'pluralName': 'Medical Centers', 'shortName': 'Medical', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,5409 South Power Road,,33.31795553,-111.68588799,"[{'label': 'display', 'lat': 33.31795553, 'lng': -111.68588799}]",85212.0,US,Mesa,AZ,United States,"['5409 South Power Road', 'Mesa, AZ 85212', 'United States']",580599975.0,496401.0
59,59,5add3f35b1538e6d927787de,Health for Life - Crismon - Medical Cannabis Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,9949 East Apache Trail,,33.4147597,-111.6157298,"[{'label': 'display', 'lat': 33.4147597, 'lng': -111.6157298}]",85207.0,US,Mesa,AZ,United States,"['9949 East Apache Trail', 'Mesa, AZ 85207', 'United States']",,496401.0
85,85,53170bc5498ed154437c0773,Health for Life Dispensary,"[{'id': '50aa9e744b90af0d42d5de0e', 'name': 'Health Food Store', 'pluralName': 'Health Food Stores', 'shortName': 'Health Food Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",v-1615097079,False,7343 S 89th Pl,,33.28205871582031,-111.63955688476562,"[{'label': 'display', 'lat': 33.28205871582031, 'lng': -111.63955688476562}]",85212.0,US,Mesa,AZ,United States,"['7343 S 89th Pl', 'Mesa, AZ 85212', 'United States']",,496401.0
86,86,5897cbd6fc5a5f6cda59d514,Oasis Dispensaries,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097079,False,26427 S Arizona Ave,,33.20567739,-111.8406916,"[{'label': 'display', 'lat': 33.20567739, 'lng': -111.8406916}]",85248.0,US,Chandler,AZ,United States,"['26427 S Arizona Ave', 'Chandler, AZ 85248', 'United States']",565080418.0,253458.0
87,87,527ac349498e04bdee45fb1b,Health for Life - Ellsworth - Medical Cannabis Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097079,False,7343 S 89th Place,Pecos and 89th Place,33.2820784,-111.6397005,"[{'label': 'entrance', 'lat': 33.281971, 'lng': -111.639784}, {'label': 'display', 'lat': 33.2820784, 'lng': -111.6397005}]",85212.0,US,Mesa,AZ,United States,"['7343 S 89th Place (Pecos and 89th Place)', 'Mesa, AZ 85212', 'United States']",535541881.0,496401.0
